iter	Logloss
0	0.3846763373
1	0.2961538069
2	0.2587799004
3	0.2380905321
4	0.2293605482
5	0.2225761278
6	0.2184163462
7	0.2153791453
8	0.2127212948
9	0.2105115119
10	0.2093161418
11	0.2077439609
12	0.2063310971
13	0.2054297045
14	0.2041825121
15	0.2028315328
16	0.2021432207
17	0.2012294803
18	0.2005461188
19	0.1998557688
20	0.1994082133
21	0.1989267358
22	0.1983724518
23	0.1977433353
24	0.1973760156
25	0.1970345612
26	0.1960689748
27	0.1956888801
28	0.1948209754
29	0.1945561167
30	0.1942995046
31	0.1937145555
32	0.1934166701
33	0.1929627991
34	0.1927875027
35	0.1925143297
36	0.1921732008
37	0.1918441722
38	0.1914247538
39	0.1908935377
40	0.1902799733
41	0.1896421238
42	0.1892338104
43	0.1888445841
44	0.1883292575
45	0.1879616208
46	0.1872131212
47	0.1867491981
48	0.1863268619
49	0.1860131175
50	0.1850719604
51	0.1847069651
52	0.1842050323
53	0.1838679318
54	0.1834901937
55	0.1831083662
56	0.1827784695
57	0.1825157166
58	0.1821403342
59	0.1819931708
60	0.1817497999
61	0.1813501663
62	0.1808802795
63	0.1803735563
64	0.1797118751
65	0.1792184881
66	0.1789194929
67	0.1785515722
68	0.178060752
69	0.1780460561
70	0.1776850204
71	0.1773174082
72	0.1766403368
73	0.176287184
74	0.1762585331
75	0.1759200745
76	0.1754619709
77	0.1751808217
78	0.1746563483
79	0.1743258913
80	0.1738952874
81	0.1735859205
82	0.1731023119
83	0.1726752514
84	0.1722410439
85	0.1718678114
86	0.171564799
87	0.1709865155
88	0.1706584769
89	0.1703781984
90	0.1700451821
91	0.1695612827
92	0.1692455427
93	0.1688403922
94	0.1685736186
95	0.1682527813
96	0.1679841741
97	0.1675043818
98	0.1670654322
99	0.166722975
100	0.1666297887
101	0.1663367513
102	0.166197876
103	0.1660487925
104	0.1656669049
105	0.1653024199
106	0.1650432375
107	0.1648073688
108	0.1643266203
109	0.1642587772
110	0.164022722
111	0.1638137758
112	0.1635448829
113	0.1631945487
114	0.1629282277
115	0.1627118912
116	0.1624736811
117	0.1622703213
118	0.1620405392
119	0.1616912265
120	0.1612974811
121	0.1610553504
122	0.1607363027
123	0.1607251256
124	0.1605529853
125	0.1602988383
126	0.1599292636
127	0.1598099891
128	0.1595147841
129	0.1591618839
130	0.1590536872
131	0.1589019623
132	0.1584892714
133	0.1582550642
134	0.1579044495
135	0.157624226
136	0.1573598294
137	0.1572311325
138	0.1569919891
139	0.1565954861
140	0.1563086209
141	0.156055442
142	0.1558758045
143	0.1555917172
144	0.1552830192
145	0.1549985894
146	0.1546633309
147	0.154428889
148	0.1542127541
149	0.1539519925
150	0.1536827282
151	0.1535882534
152	0.1534642241
153	0.1529859916
154	0.1528999524
155	0.1528695958
156	0.1525743188
157	0.1522876341
158	0.1522610499
159	0.1520757302
160	0.151855178
161	0.1516715597
162	0.1515776079
163	0.1512741275
164	0.1509681015
165	0.1506225391
166	0.150428293
167	0.1502119259
168	0.1500325156
169	0.149775617
170	0.1494946925
171	0.1492231005
172	0.1489641054
173	0.1487394901
174	0.1484256456
175	0.1481453764
176	0.147955964
177	0.147700548
178	0.1474221522
179	0.1471924176
180	0.1467878011
181	0.1465927853
182	0.1463003811
183	0.1460763558
184	0.1458748449
185	0.1456861962
186	0.1452974972
187	0.1450395881
188	0.1449372058
189	0.1447195129
190	0.14448477
191	0.144439682
192	0.1440825246
193	0.1438674079
194	0.1436072481
195	0.1432456707
196	0.1430088535
197	0.142769338
198	0.1424878871
199	0.1423001311
